create new project,2,15,7,24,7,24,0.0,58.8235294117647,13.097426470588234
update project - wiki - mongo,1000,72,72,122,7,174,0.0,8.503039836741635,1.9596849623740487
update project - wiki - pg,1000,42,40,56,19,217,0.0,8.499137337560237,1.958785558265836
TOTAL,2002,57,46,107,7,217,0.0,17.009056770488183,3.9199233020679345
