sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
create new project,10,29,5,88,25.027185219277058,0.4,10.416666666666666,2.335611979166667,229.6
update project - wiki - mongo,5000,1117,6,3480,656.3719505373153,0.0,3.9758080034605436,0.9162995007975471,236.0
update project - wiki - pg,5000,128,22,1081,72.22227911551947,0.0,3.975495048520917,0.9162273744638052,236.0
TOTAL,10010,622,5,3480,680.0322937197292,3.996003996003996E-4,7.958574071585824,1.8341529266642445,235.9936063936064
